Genus	SMPL_A12	SMPL_A13	SMPL_A14	SMPL_A15	SMPL_A16	SMPL_A17	SMPL_A18	SMPL_A19	SMPL_A20	SMPL_A21	SMPL_A22	SMPL_A23	SMPL_A24	SMPL_A25	SMPL_A33	SMPL_A36	SMPL_A3	SMPL_A41	SMPL_A42	SMPL_A44	SMPL_A47	SMPL_A48	SMPL_A52	SMPL_A53	SMPL_A54	SMPL_A56	SMPL_A57	SMPL_A58	SMPL_A59	SMPL_A5	SMPL_A7	SMPL_A9
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis	0	6	0	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	5	6	0	0	0	1	0	3	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	3	0	2	36	1	1	0	0	15	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Ezakiella	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Parvimonas	0	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;?	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group	13	10	48	21	1	40	0	86	48	10	0	0	40	7	5	32	22	40	43	46	6	31	2	2	43	0	30	51	37	16	11	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII UCG-001	7	0	8	0	0	0	0	10	3	0	0	0	0	0	2	2	1	10	11	9	1	2	3	1	6	0	12	20	9	3	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;S5-A14a	0	0	0	255	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] brachy group	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group	25	0	0	2	0	0	0	1	19	0	0	0	3	0	3	5	0	2	8	6	0	0	1	0	3	0	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;?	751	837	996	190	47	3816	246	603	1137	189	14	673	1310	213	112	305	730	555	658	219	2356	1627	1619	1965	6840	121	482	1486	2386	813	1282	4617
